Timestamp,Gender,Age,Status,Income,Frequency,Enjoyment,Time Spent,Outlet Proximity,Membership,Frequent Purchase,Avg Spend,Quality Rating,Price Range Rating,Sales Importance,Ambiance Rating,WiFi Rating,Service Rating,Meeting/Hangout Likelihood,Promotion Channels,Buying Intention,Calculated Age,Numerical Income
2019-10-01 12:57:31-08:00,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,take away,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,Less than RM20,4,1,5,4,3,4,4,Starbucks Website/Apps,No,24.5,25000.0
2019-10-01 12:59:11-08:00,Male,From 30 to 39,Employed,"RM50,000 - RM100,000",Monthly,drive-thru,Below 30 minutes,within 1km,Yes,Coffee,Around RM20 - RM40,4,3,3,4,3,3,3,Social Media,Yes,34.5,75000.0
2019-10-01 13:08:15-08:00,Male,From 20 to 29,Employed,"Less than RM25,000",Rarely,dine in,Below 30 minutes,within 1km,Yes,Coffee,Less than RM20,4,4,4,4,4,4,4,Social Media;Through friends and word of mouth,Yes,24.5,25000.0
2019-10-01 13:09:12-08:00,Male,From 20 to 29,Employed,"RM25,000 - RM50,000",Weekly,take away,Below 30 minutes,1km - 3km,Yes,Coffee,Around RM20 - RM40,4,3,4,5,5,5,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes,24.5,37500.0
2019-10-01 13:13:03-08:00,Female,From 20 to 29,Self-employed,"RM50,000 - RM100,000",Rarely,take away,Below 30 minutes,1km - 3km,Yes,Cold drinks,Less than RM20,3,4,3,4,3,4,2,Emails,Yes,24.5,75000.0
2019-10-01 13:13:45-08:00,Male,From 30 to 39,Employed,"RM100,000 - RM150,000",Rarely,take away,Below 30 minutes,within 1km,Yes,Coffee,Around RM20 - RM40,2,2,5,3,3,4,3,Social Media;Emails,No,34.5,125000.0
2019-10-01 13:14:43-08:00,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,dine in,Below 30 minutes,within 1km,No,Coffee,Around RM20 - RM40,5,3,4,3,3,4,5,Social Media,Yes,24.5,25000.0
2019-10-01 13:21:50-08:00,Male,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,dine in,More than 3 hours,within 1km,No,Coffee,Less than RM20,5,2,5,5,2,4,3,Through friends and word of mouth,No,24.5,37500.0
2019-10-01 13:24:04-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Monthly,drive-thru,Between 1 hour to 2 hours,1km - 3km,Yes,Cold drinks;Pastries;Sandwiches,Less than RM20,5,4,4,5,4,4,3,Social Media;Through friends and word of mouth,Yes,24.5,25000.0
2019-10-01 13:24:21-08:00,Male,40 and above,Self-employed,"RM100,000 - RM150,000",Rarely,dine in,Between 1 hour to 2 hours,more than 3km,No,Coffee;Juices;Pastries;Sandwiches,Around RM20 - RM40,4,3,4,4,3,3,5,Through friends and word of mouth;In Store displays,Yes,40.0,125000.0
2019-10-01 13:25:56-08:00,Male,From 30 to 39,Employed,"More than RM150,000",Monthly,dine in,Between 30 minutes to 1 hour,1km - 3km,Yes,Coffee;Cold drinks,Around RM20 - RM40,4,3,1,4,4,5,4,Social Media;In Store displays;Billboards,Yes,34.5,25000.0
2019-10-01 13:29:11-08:00,Male,From 30 to 39,Employed,"More than RM150,000",Rarely,drive-thru,Below 30 minutes,1km - 3km,No,Coffee,Less than RM20,4,2,4,4,4,4,2,Application offer,No,34.5,25000.0
2019-10-01 13:33:54-08:00,Male,From 20 to 29,Self-employed,"Less than RM25,000",Monthly,take away,Below 30 minutes,more than 3km,No,Coffee,Around RM20 - RM40,5,3,4,4,3,4,3,Social Media,Yes,24.5,25000.0
2019-10-01 13:34:30-08:00,Male,40 and above,Self-employed,"More than RM150,000",Weekly,drive-thru,Below 30 minutes,1km - 3km,Yes,Coffee,More than RM40,4,5,3,3,3,4,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,Yes,40.0,25000.0
2019-10-01 13:37:27-08:00,Female,From 20 to 29,Employed,"RM50,000 - RM100,000",Rarely,dine in,Between 30 minutes to 1 hour,1km - 3km,Yes,Coffee,Less than RM20,5,5,5,5,3,5,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes,24.5,75000.0
2019-10-01 13:39:16-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Monthly,take away,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee;Pastries;Sandwiches,Around RM20 - RM40,3,1,4,4,3,4,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes,24.5,37500.0
2019-10-01 13:40:23-08:00,Female,From 20 to 29,Employed,"RM50,000 - RM100,000",Weekly,drive-thru,Below 30 minutes,within 1km,Yes,Coffee;Pastries,Around RM20 - RM40,4,3,3,3,2,3,4,In Store displays,Yes,24.5,75000.0
2019-10-01 13:45:12-08:00,Female,From 30 to 39,Employed,"RM25,000 - RM50,000",Rarely,take away,Below 30 minutes,more than 3km,No,Coffee,Around RM20 - RM40,2,3,5,5,3,5,5,Social Media,Yes,34.5,37500.0
2019-10-01 13:45:43-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,dine in,Between 30 minutes to 1 hour,1km - 3km,Yes,Coffee,Less than RM20,3,2,3,3,3,4,3,Social Media,No,24.5,37500.0
2019-10-01 13:51:47-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,take away,Below 30 minutes,within 1km,No,Coffee,Less than RM20,3,4,4,3,4,4,3,Social Media;Through friends and word of mouth;Billboards,Yes,24.5,37500.0
2019-10-01 13:51:56-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,take away,Below 30 minutes,more than 3km,No,Coffee,Less than RM20,4,2,4,4,3,4,1,Social Media,No,24.5,25000.0
